IDRPoste;ADRPoste;CodeCommuneINSEE;NomCommune;DemandeProximite;CapaciteSansContrainte;ZoneTarifaireTURPE;PlageTarifInjection;Gabarit;CapacitePosteGabarit;NomZoneGabarit;CapaciteZoneGabarit
PERTAP6;POSTE 225kV N0 1 PERTAIN;80621;Hypercourt;;< 5 MW;;;;;;
PESSAP3;POSTE 63kV N0 1 PESSAC;33318;Pessac;;< 5 MW;zone soutirage;;;;;
PESSAP6;POSTE 225kV N0 1 PESSAC;33318;Pessac;;< 5 MW;zone soutirage;;;;;
PEUPLP3;POSTE 63kV N0 1 PEUPLERAIE;60402;Le Meux;;< 5 MW;zone soutirage;;;;;
PEYMEP3;POSTE 63kV N0 1 PEYMEINADE;06095;Peymeinade;;< 5 MW;zone soutirage;;;;;
PEYR7P4;POSTE 90kV N0 1 PEYRILHAC;87118;Peyrilhac;;< 5 MW;;;;;;
PEYROP6;POSTE 225kV N0 1 PEYROU;34172;Montpellier;;< 5 MW;zone soutirage;;;;;
PEZENP3;POSTE 63kV N0 1 PEZENAS;34199;Pézenas;;< 5 MW;;;;;;
PHALSP3;POSTE 63kV N0 1 PHALSBOURG;57540;Phalsbourg;;< 5 MW;zone soutirage;;;;;
PICHEP3;POSTE 63kV N0 1 PICHEGU;30034;Bellegarde;;< 5 MW;;;;;;
PINIEP4;POSTE 90kV N0 1 PINIER (LE);17415;Saintes;;< 5 MW;;;;;;
PINONP3;POSTE 63kV N0 1 PINON;02602;Pinon;;< 5 MW;;;;;;
PIOLEP3;POSTE 63kV N0 1 PIOLENC;84091;Piolenc;;< 5 MW;;;;;;
PIOVIP3;POSTE 63kV N0 1 PIOVIT;24253;Mareuil en Périgord;;< 5 MW;zone soutirage;;;;;
PIZANP3;POSTE 63kV N0 1 PIZANCON;26088;Chatuzange-le-Goubet;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
PLAISP6;POSTE 225kV N0 1 PLAISANCE;93050;Neuilly-sur-Marne;;< 5 MW;zone soutirage;;;;;
PLAN6P3;POSTE 63kV N0 1 PLANCOET;22311;Saint-Lormel;;< 5 MW;zone soutirage;;;;;
PLANTP3;POSTE 63kV N0 1 PLANTADES;26235;Pierrelatte;;< 5 MW;zone soutirage;;;;;
